"id","uuid","first_name","last_name","display_name","email","phone_number","reputation","is_email_verified","is_moderator","profile_image","allSkills","created_at","updated_at","deleted_at"
4,"5d22f905-19d2-4177-ac35-3a3bbe0a4c89","Shail","Gor","shail20","shailgor20+1@gmail.com","1564631","27",true,false,"http://smartsense-nodejs-poc.s3.ap-south-1.amazonaws.com/img-1649236922579.jpeg","javascript,typescript","2022-04-06T09:22:03.000Z","2022-04-06T09:22:03.000Z",
11,"c8bf79ee-e666-402e-8068-38fcbe084ea3","ABC","Gor","shailgor8","shailgor20+8@gmail.com","1564631","5",false,false,,"express.js,java","2022-04-08T05:53:15.000Z","2022-04-14T06:14:16.000Z",
8,"f5685285-a8d7-45de-ba96-72e1e2268d89","Shail","Gor","shailgor5","shailgor20+5@gmail.com","1564631",,false,false,"http://smartsense-nodejs-poc.s3.ap-south-1.amazonaws.com/img-1649330805077.jpeg","mysql,typescript,javascript,node.js","2022-04-07T11:26:45.000Z","2022-04-07T11:26:45.000Z",
10,"43f378e4-fc41-4fb7-b3e1-b0944c656b41","Shail","Gor","shailgor7","shailgor20+7@gmail.com","1564631",,false,false,,"python,mysql,typescript,node.js","2022-04-08T05:42:13.000Z","2022-04-08T05:42:13.000Z",
9,"59e91d6e-319d-4a59-850b-c0d0fd2fa998","Shail","Gor","shailgor6","shailgor20+6@gmail.com","1564631",,false,false,,"mysql,typescript,javascript,node.js","2022-04-07T12:04:51.000Z","2022-04-07T12:04:51.000Z",
2,"d5a7c9f9-b97e-41b4-8a3f-40e92065f581","abc1","xyz","abc","shailgor20@gmail.com","1564631",,true,false,"http://smartsense-nodejs-poc.s3.ap-south-1.amazonaws.com/img-1649158014991.jpeg","","2022-04-05T11:26:55.000Z","2022-04-05T11:27:03.000Z",
7,"93ae6eec-61ac-44e6-9529-ee49796a7dfe","shail","Gor","shailgor4","shailgor20+4@gmail.com","1564631",,false,false,"http://smartsense-nodejs-poc.s3.ap-south-1.amazonaws.com/img-1649330541060.jpeg","","2022-04-07T11:22:21.000Z","2022-04-19T12:09:24.000Z",
6,"745e8d86-bba7-40f0-9b42-ab2af5b829ab","Shail","Gor","shailgor08","shailgor20+3@gmail.com","1564631",,false,false,"http://smartsense-nodejs-poc.s3.ap-south-1.amazonaws.com/img-1649330311744.jpeg","","2022-04-07T11:18:32.000Z","2022-04-07T11:18:32.000Z",
5,"cca6c3c0-b7f2-4982-b0c4-0006ae91e999","Shail","Gor","shailgor07","shailgor20+2@gmail.com","1564631",,false,false,"http://smartsense-nodejs-poc.s3.ap-south-1.amazonaws.com/img-1649329017314.jpeg","","2022-04-07T10:56:57.000Z","2022-04-07T10:56:57.000Z",
3,"c384e731-9e68-450e-95d4-aa2614045196","abc2","xyz","abc","shailgor20@gmail.com","1564631",,true,false,"http://smartsense-nodejs-poc.s3.ap-south-1.amazonaws.com/img-1649158516771.jpeg","","2022-04-05T11:35:17.000Z","2022-04-06T09:24:09.000Z","2022-04-06T09:36:04.000Z"
